,Date,Open,High,Low,Close,Volume,MarketCap
227,"Jul 19, 2019",0.975413,0.986751,0.930558,0.982152,"4,603,820","645,925,734"
228,"Jul 18, 2019",0.919985,0.991306,0.914523,0.975413,"5,468,334","643,555,643"
229,"Jul 17, 2019",0.862768,0.945060,0.834350,0.919831,"5,971,580","605,928,448"
230,"Jul 16, 2019",0.970807,0.979049,0.838499,0.858835,"6,473,433","564,843,687"
231,"Jul 15, 2019",0.935994,1.02,0.889508,0.971759,"6,354,067","641,182,870"
232,"Jul 14, 2019",0.997538,1.02,0.926320,0.936902,"3,976,188","617,249,243"
233,"Jul 13, 2019",1.08,1.09,0.949652,0.997331,"6,033,426","656,064,027"
234,"Jul 12, 2019",1.02,1.08,0.996290,1.08,"5,490,410","711,690,326"
235,"Jul 11, 2019",1.18,1.19,1.01,1.01,"6,027,839","668,159,345"
236,"Jul 10, 2019",1.22,1.25,1.16,1.18,"6,717,291","776,271,455"
237,"Jul 09, 2019",1.22,1.25,1.16,1.22,"6,828,247","806,487,053"
238,"Jul 08, 2019",1.20,1.23,1.17,1.22,"5,921,756","807,185,678"
239,"Jul 07, 2019",1.22,1.23,1.15,1.20,"6,059,511","787,851,212"
240,"Jul 06, 2019",1.28,1.29,1.20,1.22,"6,465,615","804,271,519"
241,"Jul 05, 2019",1.21,1.29,1.20,1.28,"6,854,996","844,817,393"
242,"Jul 04, 2019",1.24,1.30,1.14,1.21,"10,289,849","794,861,091"
243,"Jul 03, 2019",1.01,1.29,1.01,1.24,"15,837,964","821,030,802"
244,"Jul 02, 2019",0.919517,1.08,0.861476,1.01,"7,635,184","667,248,651"
245,"Jul 01, 2019",0.934126,0.959318,0.862020,0.919536,"6,028,770","605,042,285"
246,"Jun 30, 2019",1.03,1.05,0.911791,0.934126,"6,748,029","616,672,950"
247,"Jun 29, 2019",1.01,1.04,0.953163,1.03,"7,264,458","680,750,934"
248,"Jun 28, 2019",0.979479,1.08,0.975719,1.01,"6,776,169","666,152,208"
249,"Jun 27, 2019",1.09,1.11,0.920158,0.978566,"8,510,764","646,086,592"
250,"Jun 26, 2019",1.10,1.16,1.04,1.09,"11,735,069","715,579,635"
251,"Jun 25, 2019",1.16,1.18,1.07,1.10,"8,186,039","726,181,028"
252,"Jun 24, 2019",1.19,1.19,1.14,1.16,"5,656,100","767,780,900"
253,"Jun 23, 2019",1.23,1.26,1.19,1.19,"5,118,426","785,283,736"
254,"Jun 22, 2019",1.17,1.26,1.14,1.23,"10,229,269","807,746,163"
255,"Jun 21, 2019",1.13,1.22,1.13,1.17,"6,892,837","774,556,610"
256,"Jun 20, 2019",1.20,1.21,1.07,1.13,"9,498,107","745,129,942"
257,"Jun 19, 2019",1.23,1.25,1.18,1.20,"6,385,426","790,089,456"
258,"Jun 18, 2019",1.33,1.35,1.22,1.23,"6,767,405","810,643,318"
259,"Jun 17, 2019",1.29,1.35,1.28,1.33,"6,246,080","877,243,807"
260,"Jun 16, 2019",1.25,1.30,1.24,1.29,"5,700,414","851,067,755"
261,"Jun 15, 2019",1.23,1.26,1.21,1.25,"5,245,296","822,432,838"
262,"Jun 14, 2019",1.28,1.29,1.20,1.23,"5,899,459","809,383,076"
263,"Jun 13, 2019",1.27,1.30,1.25,1.28,"5,019,616","839,970,572"
264,"Jun 12, 2019",1.28,1.29,1.23,1.27,"5,044,644","836,622,244"
265,"Jun 11, 2019",1.30,1.31,1.22,1.28,"4,552,928","845,021,530"
266,"Jun 10, 2019",1.23,1.31,1.21,1.30,"4,923,599","855,449,237"
267,"Jun 09, 2019",1.26,1.28,1.19,1.23,"4,224,513","810,791,982"
268,"Jun 08, 2019",1.32,1.33,1.24,1.26,"4,411,334","832,611,080"
269,"Jun 07, 2019",1.33,1.42,1.31,1.32,"5,561,432","873,534,846"
270,"Jun 06, 2019",1.18,1.37,1.16,1.33,"8,384,631","877,780,217"
271,"Jun 05, 2019",1.21,1.24,1.14,1.18,"8,880,765","780,822,862"
272,"Jun 04, 2019",1.39,1.39,1.15,1.21,"9,926,834","803,454,996"
273,"Jun 03, 2019",1.51,1.51,1.38,1.39,"5,727,266","919,188,916"
274,"Jun 02, 2019",1.47,1.56,1.47,1.51,"5,045,491","998,364,254"
275,"Jun 01, 2019",1.51,1.51,1.47,1.47,"5,251,971","975,104,108"
276,"May 31, 2019",1.49,1.52,1.43,1.51,"6,548,130","996,694,026"
277,"May 30, 2019",1.59,1.68,1.46,1.49,"10,738,553","980,806,612"
278,"May 29, 2019",1.58,1.60,1.56,1.59,"6,348,191","1,053,254,592"
279,"May 28, 2019",1.65,1.65,1.58,1.58,"5,946,047","1,045,779,042"
280,"May 27, 2019",1.66,1.70,1.62,1.65,"5,149,919","1,089,185,473"
281,"May 26, 2019",1.57,1.67,1.52,1.67,"5,990,545","1,102,824,937"
